# Synthetic Equations (100 total)
# Format: ID | NAME | LATEX | PROPERTIES
# NOTE: Real competition data unavailable

1 | Associativity | (x * y) * z = x * (y * z) | [associative]
2 | Commutativity | x * y = y * x | [commutative]
3 | Left Identity | \exists e \forall x: e * x = x | [left_identity]
4 | Right Identity | \exists e \forall x: x * e = x | [right_identity]
5 | Two-sided Identity | \exists e \forall x: e * x = x * e = x | [bidentity]
6 | Left Inverse | \exists e \forall x \exists x^{-1}: x^{-1} * x = e | [left_inverse,bidentity]
7 | Right Inverse | \exists e \forall x \exists x^{-1}: x * x^{-1} = e | [right_inverse,bidentity]
8 | Two-sided Inverse | \forall x \exists x^{-1}: x * x^{-1} = x^{-1} * x = e | [inverse,bidentity]
9 | Idempotence | x * x = x | [idempotent]
10 | Left Zero | \exists 0 \forall x: 0 * x = 0 | [zero]
11 | Left Self-Distributive | x * (y * z) = (x * y) * (x * z) | [distributive]
12 | Right Self-Distributive | (x * y) * z = (x * z) * (y * z) | [distributive]
13 | Group Axioms | Associative + Two-sided Identity + Two-sided Inverse | [associative,bidentity,inverse]
14 | Semigroup | Associative operation only | [associative]
15 | Monoid | Associative + Two-sided Identity | [associative,bidentity]
16 | Abelian Group | Group + Commutative | [associative,bidentity,inverse,commutative]
17 | Synthetic Equation 17 | Equation_17_latex | [associative]
18 | Synthetic Equation 18 | Equation_18_latex | [idempotent]
19 | Synthetic Equation 19 | Equation_19_latex | [associative,commutative]
20 | Synthetic Equation 20 | Equation_20_latex | [idempotent]
21 | Synthetic Equation 21 | Equation_21_latex | [associative,bidentity]
22 | Synthetic Equation 22 | Equation_22_latex | [commutative]
23 | Synthetic Equation 23 | Equation_23_latex | [associative]
24 | Synthetic Equation 24 | Equation_24_latex | [idempotent]
25 | Synthetic Equation 25 | Equation_25_latex | [associative,commutative]
26 | Synthetic Equation 26 | Equation_26_latex | [bidentity]
27 | Synthetic Equation 27 | Equation_27_latex | [associative]
28 | Synthetic Equation 28 | Equation_28_latex | [commutative]
29 | Synthetic Equation 29 | Equation_29_latex | [associative]
30 | Synthetic Equation 30 | Equation_30_latex | [idempotent]
31 | Synthetic Equation 31 | Equation_31_latex | [associative,commutative,bidentity]
32 | Synthetic Equation 32 | Equation_32_latex | [idempotent]
33 | Synthetic Equation 33 | Equation_33_latex | [associative]
34 | Synthetic Equation 34 | Equation_34_latex | [commutative]
35 | Synthetic Equation 35 | Equation_35_latex | [associative]
36 | Synthetic Equation 36 | Equation_36_latex | [bidentity,inverse]
